icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD10,O10,O1033,ckd,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
DIAG-ICD9,571,5712,cld,Alcoholic cirrhosis of liver
DIAG-ICD9,571,5713,cld,"Alcoholic liver damage, unspecified"
DIAG-ICD9,571,5715,cld,Cirrhosis of liver without mention of alcohol
DIAG-ICD9,571,5718,cld,Other chronic nonalcoholic liver disease
DIAG-ICD9,571,5719,cld,Unspecified chronic liver disease without mention of alcohol
DIAG-ICD9,572,5723,cld,Portal hypertension
DIAG-ICD9,572,5728,cld,Other sequelae of chronic liver disease
DIAG-ICD9,573,573,cld,Chronic passive congestion of liver
DIAG-ICD9,573,5735,cld,Hepatopulmonary syndrome
DIAG-ICD10,K70,K7030,cld,Alcoholic cirrhosis of liver without ascites
DIAG-ICD10,K70,K7031,cld,Alcoholic cirrhosis of liver with ascites
DIAG-ICD10,K71,K717,cld,Toxic liver disease with fibrosis and cirrhosis of liver
DIAG-ICD10,K74,K740,cld,Hepatic fibrosis
DIAG-ICD10,K74,K741,cld,Hepatic sclerosis
DIAG-ICD10,K74,K742,cld,Hepatic fibrosis with hepatic sclerosis
DIAG-ICD10,K74,K7460,cld,Unspecified cirrhosis of liver
DIAG-ICD10,K74,K7469,cld,Other cirrhosis of liver
DIAG-ICD10,P78,P7881,cld,Congenital cirrhosis (of liver)
DIAG-ICD9,491,4912,copd,Obstructive chronic bronchitis without exacerbation
DIAG-ICD9,491,49121,copd,Obstructive chronic bronchitis with (acute) exacerbation
DIAG-ICD9,491,49122,copd,Obstructive chronic bronchitis with acute bronchitis
DIAG-ICD10,J44,J440,copd,Chronic obstructive pulmonary disease with acute lower respiratory infection
DIAG-ICD10,J44,J441,copd,Chronic obstructive pulmonary disease with (acute) exacerbation
DIAG-ICD10,J44,J449,copd,"Chronic obstructive pulmonary disease, unspecified"
DIAG-ICD9,249,249,dm,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24901,dm,"Secondary diabetes mellitus without mention of complication, uncontrolled"
DIAG-ICD9,249,2491,dm,"Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24911,dm,"Secondary diabetes mellitus with ketoacidosis, uncontrolled"
DIAG-ICD9,249,2492,dm,"Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24921,dm,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled"
DIAG-ICD9,249,2493,dm,"Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24931,dm,"Secondary diabetes mellitus with other coma, uncontrolled"
DIAG-ICD9,249,2494,dm,"Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24941,dm,"Secondary diabetes mellitus with renal manifestations, uncontrolled"
DIAG-ICD9,249,2495,dm,"Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24951,dm,"Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled"
DIAG-ICD9,249,2496,dm,"Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24961,dm,"Secondary diabetes mellitus with neurological manifestations, uncontrolled"
DIAG-ICD9,249,2497,dm,"Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24971,dm,"Secondary diabetes mellitus with peripheral circulatory disorders, uncontrolled"
DIAG-ICD9,249,2498,dm,"Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24981,dm,"Secondary diabetes mellitus with other specified manifestations, uncontrolled"
DIAG-ICD9,249,2499,dm,"Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified"
DIAG-ICD9,249,24991,dm,"Secondary diabetes mellitus with unspecified complication, uncontrolled"
DIAG-ICD9,250,250,dm,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25001,dm,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25002,dm,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25003,dm,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2501,dm,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25011,dm,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25012,dm,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25013,dm,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2502,dm,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25021,dm,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25022,dm,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25023,dm,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2503,dm,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25031,dm,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25032,dm,"Diabetes with other coma, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25033,dm,"Diabetes with other coma, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2504,dm,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25041,dm,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25042,dm,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25043,dm,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2505,dm,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25051,dm,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25052,dm,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25053,dm,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2506,dm,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25061,dm,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25062,dm,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25063,dm,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2507,dm,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25071,dm,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25072,dm,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25073,dm,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2508,dm,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25081,dm,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25082,dm,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25083,dm,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
DIAG-ICD9,250,2509,dm,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
DIAG-ICD9,250,25091,dm,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled"
DIAG-ICD9,250,25092,dm,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
DIAG-ICD9,250,25093,dm,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
DIAG-ICD9,648,648,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
DIAG-ICD9,648,64801,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
DIAG-ICD9,648,64802,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
DIAG-ICD9,648,64803,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
DIAG-ICD9,648,64804,dm,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
DIAG-ICD10,E08,E0800,dm,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
DIAG-ICD10,E08,E0801,dm,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
DIAG-ICD10,E08,E0810,dm,Diabetes mellitus due to underlying condition with ketoacidosis without coma
DIAG-ICD10,E08,E0811,dm,Diabetes mellitus due to underlying condition with ketoacidosis with coma
DIAG-ICD10,E08,E0821,dm,Diabetes mellitus due to underlying condition with diabetic nephropathy
DIAG-ICD10,E08,E0822,dm,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
DIAG-ICD10,E08,E0829,dm,Diabetes mellitus due to underlying condition with other diabetic kidney complication
DIAG-ICD10,E08,E08311,dm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
DIAG-ICD10,E08,E08319,dm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
DIAG-ICD10,E08,E083211,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08,E083212,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08,E083213,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08,E083219,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08,E083291,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08,E083292,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08,E083293,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08,E083299,dm,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08,E083311,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08,E083312,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08,E083313,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08,E083319,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08,E083391,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08,E083392,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08,E083393,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08,E083399,dm,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08,E083411,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08,E083412,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08,E083413,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08,E083419,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08,E083491,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08,E083492,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye"
DIAG-ICD10,E08,E083493,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
DIAG-ICD10,E08,E083499,dm,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
DIAG-ICD10,E08,E083511,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye"
DIAG-ICD10,E08,E083512,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye"
DIAG-ICD10,E08,E083513,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral"
DIAG-ICD10,E08,E083519,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
DIAG-ICD10,E08,E083521,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
DIAG-ICD10,E08,E083522,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
DIAG-ICD10,E08,E083523,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
DIAG-ICD10,E08,E083529,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
DIAG-ICD10,E08,E083531,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
DIAG-ICD10,E08,E083532,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
DIAG-ICD10,E08,E083533,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
DIAG-ICD10,E08,E083539,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
DIAG-ICD10,E08,E083541,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
DIAG-ICD10,E08,E083542,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
DIAG-ICD10,E08,E083543,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
DIAG-ICD10,E08,E083549,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
DIAG-ICD10,E08,E083551,dm,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye"
DIAG-ICD10,E08,E083552,dm,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye"
DIAG-ICD10,E08,E083553,dm,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral"
DIAG-ICD10,E08,E083559,dm,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye"
DIAG-ICD10,E08,E083591,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye"
DIAG-ICD10,E08,E083592,dm,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye"
